,S&P GSCI,GOLD,MSCI World
2009-12-29,10.405747914511565,,-1.4198126774878639
2009-12-30,10.40734393676306,,-1.2734967196277425
2009-12-31,10.561104409613753,,-1.2378633297380648
2010-01-04,10.997897673296574,,-1.1215399119273606
2010-01-05,10.995569620491775,,-1.185845249897599
2010-01-06,11.048717629077998,,-1.1248496259970153
2010-01-07,10.833039910348186,,-1.0901427323229074
2010-01-08,10.663009578764582,,-1.039564692998174
2010-01-11,10.598546174951661,,-1.0542277330244154
2010-01-12,10.394220618985738,,-1.242328990987518
2010-01-13,10.401669537092673,,-1.3023985374237435
2010-01-14,10.535743133659526,,-1.3436655820073806
2010-01-15,10.299703136356598,,-1.3918059100670566
2010-01-19,10.317244820610693,,-1.188333794974139
2010-01-20,10.0596205090274,,-1.330914802940908
2010-01-21,9.928992584712915,,-1.6286873454572137
2010-01-22,9.933182791768914,,-1.7618939863711658
2010-01-25,9.998983374093218,,-1.625144522806432
2010-01-26,9.917693134391792,,-1.5946557704400788
2010-01-27,9.851208505585806,,-1.6706613412766136
2010-01-28,9.90817081079296,,-2.0928654852542916
2010-01-29,9.826153363185064,,-2.2068980234473456
2010-02-01,10.09365623915166,,-2.1219748809909067
2010-02-02,10.328646090358507,,-2.1328520803559625
2010-02-03,10.051070769492053,,-2.1982987078392524
2010-02-04,9.516288927447558,,-2.5859983625604044
2010-02-05,9.20664692486428,,-2.750499209402757
2010-02-08,9.052362768714328,,-2.7816436896834884
2010-02-09,9.062563922701683,,-2.666677788339955
2010-02-10,9.094792189389555,,-2.6593809932415113
2010-02-11,9.185225467658832,,-2.4171494230691093
2010-02-12,9.046059980022747,,-2.5380127820560983
2010-02-16,9.48559702253351,,-2.3283668702702265
2010-02-17,9.369719241903773,,-2.245679551236557
2010-02-18,9.639774601805339,,-2.1738519270131706
2010-02-19,9.796879808796577,,-2.2273885879920186
2010-02-22,9.835752834451196,,-2.2612998322835365
2010-02-23,9.538865956638842,,-2.353944640854
2010-02-24,9.499321405141181,,-2.2293350877343965
2010-02-25,9.409215204067856,,-2.1804254823278857
2010-02-26,9.504747584316453,,-1.978604364512182
2010-03-01,9.222756590471093,,-1.501340445588717
2010-03-02,9.514157859834071,,-1.4360527175479643
2010-03-03,9.83733853750428,,-1.6024049010912256
2010-03-04,9.574336440947807,,-1.602249585778237
2010-03-05,9.567545016005141,,-1.5074252559489132
2010-03-08,9.619525029511088,,-1.4846360447697604
